"Status","Timestamp","HostName"
"Host in Session [ notre]","2024-11-06 06:42:23","localhost"
"Host in Session [ notre]","2024-11-06 06:42:23","n7rcws"
"Power-on Failed","2024-11-06 08:58:30","i2-ca-29"
"Power-on Failed","2024-11-06 08:58:30","n7rcws"
"Host in Session [ administrador]","2024-11-06 08:59:37","localhost"
"Host in Session [ administrador]","2024-11-06 08:59:37","U00200025-BAV02"
"Power-on Failed","2024-11-06 13:00:33","i2-ca-29"
"Power-on Failed","2024-11-06 13:00:33","n7rcws"
"Host in Session [ administrador]","2024-11-06 13:01:39","localhost"
"Host in Session [ administrador]","2024-11-06 13:01:39","U00200025-BAV02"
"Power-on Failed","2024-11-06 13:21:53","i2-ca-29"
"Power-on Failed","2024-11-06 13:21:53","n7rcws"
"Host in Session [ administrador]","2024-11-06 13:22:58","localhost"
"Host in Session [ administrador]","2024-11-06 13:22:58","U00200025-BAV02"
"Power-on Failed","2024-11-06 13:27:03","i2-ca-29"
"Power-on Failed","2024-11-06 13:27:03","n7rcws"
"Host in Session [ administrador]","2024-11-06 13:28:09","localhost"
"Host in Session [ administrador]","2024-11-06 13:28:09","U00200025-BAV02"
"Power-on Failed","2024-11-06 13:34:35","i2-ca-29"
"Power-on Failed","2024-11-06 13:34:35","n7rcws"
"Host in Session [ administrador]","2024-11-06 13:35:41","localhost"
"Host in Session [ administrador]","2024-11-06 13:35:41","U00200025-BAV02"
"Power-on Failed","2024-11-06 13:40:52","i2-ca-29"
"Power-on Failed","2024-11-06 13:40:52","n7rcws"
"Host in Session [ administrador]","2024-11-06 13:41:58","localhost"
"Host in Session [ administrador]","2024-11-06 13:41:58","U00200025-BAV02"
"Power-on Failed","2024-11-06 13:55:42","i2-ca-29"
"Power-on Failed","2024-11-06 13:55:42","n7rcws"
"Host in Session [ administrador]","2024-11-06 13:56:48","localhost"
"Host in Session [ administrador]","2024-11-06 13:56:48","U00200025-BAV02"
"Power-on Failed","2024-11-06 18:45:33","U00200025-BAV02"
"Power-on Failed","2024-11-06 18:45:33","i2-ca-29"
"Host in Session [ notre]","2024-11-06 18:45:55","localhost"
"Host in Session [ notre]","2024-11-06 18:45:55","n7rcws"
"Power-on Failed","2024-11-06 20:10:12","U00200025-BAV02"
"Power-on Failed","2024-11-06 20:10:12","i2-ca-29"
"Host in Session [ notre]","2024-11-06 20:10:34","localhost"
"Host in Session [ notre]","2024-11-06 20:10:34","n7rcws"
"Power-on Failed","2024-11-06 20:22:27","U00200025-BAV02"
"Power-on Failed","2024-11-06 20:22:27","i2-ca-29"
"Host in Session [ notre]","2024-11-06 20:22:48","localhost"
"Host in Session [ notre]","2024-11-06 20:22:48","n7rcws"
"Power-on Failed","2024-11-06 20:36:01","U00200025-BAV02"
"Power-on Failed","2024-11-06 20:36:01","i2-ca-29"
"Host in Session [ notre]","2024-11-06 20:36:22","localhost"
"Host in Session [ notre]","2024-11-06 20:36:22","n7rcws"
"Power-on Failed","2024-11-06 20:39:26","U00200025-BAV02"
"Power-on Failed","2024-11-06 20:39:26","i2-ca-29"
"Host in Session [ notre]","2024-11-06 20:39:48","localhost"
"Host in Session [ notre]","2024-11-06 20:39:48","n7rcws"
"Power-on Failed","2024-11-06 20:46:09","U00200025-BAV02"
"Power-on Failed","2024-11-06 20:46:09","i2-ca-29"
"Host in Session [ notre]","2024-11-06 20:46:30","localhost"
"Host in Session [ notre]","2024-11-06 20:46:30","n7rcws"
"Power-on Failed","2024-11-06 21:37:07","U00200025-BAV02"
